Algorithm,Size,Comparisons,Exchanges,Time(ms)
Insertion Sort,7534,13964357,13971890,3
Insertion Sort,6226,9647049,9653274,2
Insertion Sort,6914,12206921,12213834,3
Insertion Sort,6942,12178191,12185132,3
Insertion Sort,9332,21823406,21832737,6
Insertion Sort,1468,549155,550622,0
Insertion Sort,8793,19658700,19667492,5
Insertion Sort,882,199497,200378,0
Insertion Sort,6541,10576713,10583253,2
Insertion Sort,7789,15176480,15184268,4
Insertion Sort,9651,23536846,23546496,6
Insertion Sort,4458,4939267,4943724,1
Insertion Sort,9589,23063280,23072868,6
Insertion Sort,6059,9131708,9137766,2
Insertion Sort,7028,12297161,12304188,3
Insertion Sort,631,96450,97080,0
Insertion Sort,3734,3426537,3430270,0
Insertion Sort,67,1064,1130,0
Insertion Sort,1846,850764,852609,0
Insertion Sort,1912,905211,907122,0
Insertion Sort,2894,2074649,2077542,0
Insertion Sort,6928,12021507,12028434,3
Insertion Sort,4586,5239717,5244302,1
Insertion Sort,8101,16352856,16360956,4
Insertion Sort,2859,2041296,2044154,0
Insertion Sort,6122,9489552,9495673,2
Insertion Sort,7930,15993160,16001089,4
Insertion Sort,8152,16697887,16706038,4
Insertion Sort,8697,19035281,19043977,5
Insertion Sort,2505,1589985,1592489,0
Insertion Sort,7226,13289108,13296333,3
Insertion Sort,3705,3367314,3371018,0
Insertion Sort,6835,11597452,11604286,3
Insertion Sort,5909,8790278,8796186,2
Insertion Sort,4173,4367015,4371187,1
Insertion Sort,6965,11904460,11911424,3
Insertion Sort,6453,10537607,10544059,2
Insertion Sort,6236,9796531,9802766,2
Insertion Sort,3524,3144678,3148201,0
Insertion Sort,9498,22532245,22541742,6
Insertion Sort,4770,5690167,5694936,1
Insertion Sort,4318,4641085,4645402,1
Insertion Sort,6481,10340912,10347392,2
Insertion Sort,1378,476404,477781,0
Insertion Sort,577,84529,85105,0
Insertion Sort,4745,5641136,5645880,1
Insertion Sort,5322,7078093,7083414,1
Insertion Sort,2873,2033169,2036041,0
Insertion Sort,4306,4669682,4673987,1
Insertion Sort,4732,5680379,5685110,1
Insertion Sort,9545,22644903,22654447,6
Insertion Sort,6012,9004285,9010296,2
Insertion Sort,1087,296761,297847,0
Insertion Sort,6170,9582284,9588453,2
Insertion Sort,9871,24177735,24187605,6
Insertion Sort,7024,12465149,12472172,3
Insertion Sort,910,202234,203143,0
Insertion Sort,941,226839,227779,0
Insertion Sort,3224,2545392,2548615,0
Insertion Sort,3516,3039497,3043012,0
Insertion Sort,3074,2370979,2374052,0
Insertion Sort,8755,19267365,19276119,5
Insertion Sort,2538,1599897,1602434,0
Insertion Sort,9333,21806400,21815732,6
Insertion Sort,8784,19158395,19167178,5
Insertion Sort,4778,5687406,5692183,1
Insertion Sort,6792,11486677,11493468,3
Insertion Sort,5860,8509510,8515369,2
Insertion Sort,9792,23775869,23785660,6
Insertion Sort,7044,12495731,12502774,3
Insertion Sort,5428,7411099,7416526,2
Insertion Sort,261,16218,16478,0
Insertion Sort,5402,7223852,7229253,2
Insertion Sort,6775,11375136,11381910,3
